Chapter,Chapter Title,Content Title,Type,Source,URL,Key Connection,Date
Ch 4,The Blueprints,Building AI Literacy with Adamson Center,LinkedIn Post,Straits Interactive,https://www.linkedin.com/posts/straits-interactive_building-ai-literacywith-adamson-center-activity-7386687987780284416-H7if,Capability framework blueprint applied across Philippines,Oct 2025
Ch 5,The Production Line,How Capability-as-a-Service Supports Professional Upskilling,Article,DPEX Network,https://www.dpexnetwork.org/articles/how-capability-as-a-service-supports-professional-upskilling-for-an-ai-driven-future,Describes the AI production pipeline for L&D,Dec 2025
Ch 5,The Production Line,Enriching Career Growth: How a Digital Marketing Agency Built AI Capability,Video,YouTube / DPEX,https://www.youtube.com/watch?v=4EryreUE5iI,SME AI production journey testimonial,Feb 2025
Ch 6,The Instructions,More Than Just Prompt Engineering,LinkedIn Post,Kevin Shepherdson,https://www.linkedin.com/posts/kevinshepherdson_in-last-weeks-cohort-we-did-more-than-just-activity-7418785217827454976-Fm6Q,Cohort building real AI capability beyond prompting,Feb 2026
Ch 7,The Owners,New Industry Graduate Diploma in Generative AI,LinkedIn Post,Straits Interactive,https://www.linkedin.com/posts/straits-interactive_launch-of-industry-graduate-diploma-in-generative-activity-7424334805410082816-2uKn,SMU partnership for GenAI ownership and deployment,Mar 2026
Ch 8,Customization,Doubling Down on AI Capability Building,LinkedIn Post,Alvin Toh,https://www.linkedin.com/posts/alvintoh_were-doubling-down-on-ai-capability-building-activity-7427883425014992897-F21F,AI Factory playbooks and pilots — custom intelligence,Mar 2026
Ch 9,Workshopping,On Stage: Straits Interactive at ASME AI Festival Asia 2025,Video,YouTube / DPEX,https://www.youtube.com/watch?v=3MbR5X2lUik,Live AI workshop delivery and methodology showcase,Feb 2025
Ch 10,Human-Machine Collaboration,The Human Capabilities That Count: Rethinking Careers in Data,Article,DPEX Network,https://www.dpexnetwork.org/articles/future-proofing-jobs-the-human-capabilities-ai-cant-replicate,Human skills AI cannot replace — the collaboration imperative,Dec 2025
Ch 10,Human-Machine Collaboration,How AI is Transforming Work in Southeast Asia,LinkedIn Post,Alvin Toh,https://www.linkedin.com/posts/alvintoh_asiapulse-is-ai-after-my-tasks-or-my-job-activity-7381325693449592833-n0ad,AI after my job? Human-AI division of labour in ASEAN,Oct 2025
Ch 10,Human-Machine Collaboration,AI Delay Puts SMEs at Risk of Cyber Compliance Gaps,Article,DPEX Network,https://www.dpexnetwork.org/articles/ai-delay-puts-smes-at-risk-of-cyber-compliance-gaps,Human oversight needed when SMEs delay AI adoption,Sep 2025
Ch 11,Governance & Ethics,The Complex World of Generative AI Governance,Video,YouTube,https://www.youtube.com/watch?v=9GUls-cE_3o,Explores the ethical and regulatory landscape of GenAI,Dec 2024
Ch 11,Governance & Ethics,Governing the Shift from Tools to Digital Teammates,Article,DPEX Network,https://www.dpexnetwork.org/articles/governing-the-shift-from-tools-to-digital-teammates-with-the-ai-factory,Alvin Toh on AI governance for the agentic era,Feb 2026
Ch 11,Governance & Ethics,AI Rules Are Changing: Key Regulatory Updates for 2025 & 2026,Video,YouTube,https://www.youtube.com/watch?v=hvlTWt30CEw,Regulatory updates aligning with Ch 11's governance frameworks,Jan 2026
Ch 12,Accountability Safety & Risks,ASEAN's New AI and Data Frameworks Push Connectivity to Intelligence,Article,DPEX Network,https://www.dpexnetwork.org/articles/aseans-new-ai-and-data-frameworks-push-connectivity-to-intelligence,Regulatory accountability across ASEAN,Feb 2026
Ch 13,Intelligence Cost & Judgement,The 2025 AI Scorecard: A Look Back on GenAI Trends,Article,DPEX Network,https://www.dpexnetwork.org/articles/the-2025-ai-scorecard-a-look-back-on-generative-ai-trends-we-predicted,Evaluates AI quality cost and judgement in real-world deployments,Dec 2025
Ch 14,The Age of Autonomous Agents,Insight: The Double-Edged Sword That Is Agentic AI,Article,DPEX Network,https://www.dpexnetwork.org/articles/insight-the-double-edged-sword-that-is-agentic-ai,Agentic AI risks and opportunities,Sep 2025
Ch 14,The Age of Autonomous Agents,Governing the Shift from Tools to Digital Teammates,Article,DPEX Network,https://www.dpexnetwork.org/articles/governing-the-shift-from-tools-to-digital-teammates-with-the-ai-factory,Alvin Toh on agents as digital teammates,Feb 2026
Ch 14,The Age of Autonomous Agents,Data and AI Governance: Riding the Next Wave with GenAI,LinkedIn Post,Alvin Toh,https://www.linkedin.com/posts/alvintoh_a-look-at-the-first-dpex-network-community-activity-7353702908607033344-iDZW,Agentic and autonomous AI at community level,Jul 2025
Ch 14,The Age of Autonomous Agents,The Importance of Human Oversight in the Age of AI,Article,DPEX Network,https://www.dpexnetwork.org/articles/the-importance-of-human-oversight-in-the-age-of-artificial-intelligence,Human oversight as check on autonomous agents,Mar 2026
Ch 15,Call to Action,Building the AI-Enabled Enterprise: Five GenAI Trends,Article,DPEX Network / LinkedIn,https://www.dpexnetwork.org/articles/why-holistic-ai-capabilities-ai-bilingualists-cross-functional-funding-workflow-augmentation-and-mandatory-ai-governance-will-define-enterprise-success,2026 roadmap for AI-enabled enterprises,Jan 2026
Ch 15,Call to Action,2025 → 2026: Looking Back to the Future,Video,YouTube,https://www.youtube.com/watch?v=2yfbab_shv4,Year-in-review and forward-looking AI capability mandate,Jan 2026
